slug,source,ingested,summary,points,consulting
appi-law,◯,◯,◯,◯,◯
illegal-access-law,◯,◯,◯,◯,×
ipa-partnership,◯,◯,×,×,×
jis-q15001,-,-,-,-,-
jssec-mobile,◯,◯,×,×,×
labor-safety-law,◯,◯,◯,◯,×
labor-standards-law,◯,◯,◯,◯,×
meti-cloud,◯,◯,×,×,×
meti-security,◯,◯,×,×,×
meti-virus,◯,◯,×,×,×
mynumber-law,◯,◯,◯,◯,×
pmark-guide,◯,◯,◯,◯,×
ppc-3rdparty,◯,◯,◯,◯,◯
ppc-anonymous,◯,◯,◯,◯,◯
ppc-certified,◯,◯,◯,◯,×
ppc-guideline,◯,◯,◯,◯,×
ppc-health,◯,◯,◯,◯,◯
ppc-mynumber-biz,◯,◯,◯,◯,◯
ppc-mynumber-gov,◯,◯,×,×,×
ppc-mynumber-gov2,◯,◯,×,×,×
ppc-offshore,◯,◯,◯,◯,◯
ppc-policy,◯,◯,◯,◯,◯
soumu-mobile-skip,-,-,-,-,-
tokyo-ordinance,◯,◯,◯,◯,×
一般財団法人から入手,-,-,-,-,-
